Date,SK하이닉스,한화에어로스페이스,우리금융지주
2020-09-21,"84,500","26,300","8,390"
2020-09-22,"81,300","25,350","8,260"
2020-09-23,"83,600","25,600","8,250"
2020-09-24,"84,300","25,550","8,080"
2020-09-25,"82,900","25,000","8,240"
2020-09-28,"82,500","25,050","8,430"
2020-09-29,"84,000","25,400","8,580"
2020-10-05,"83,200","26,400","8,650"
2020-10-06,"83,000","26,350","8,500"
2020-10-07,"83,400","26,850","8,670"
2020-10-08,"82,900","26,500","8,660"
2020-10-12,"85,500","26,900","8,710"
2020-10-13,"88,200","26,800","8,690"
2020-10-14,"86,500","26,250","8,560"
2020-10-15,"87,100","25,750","8,470"
2020-10-16,"85,300","25,850","8,410"
2020-10-19,"86,700","26,000","8,600"
2020-10-20,"85,200","25,750","8,570"
2020-10-21,"83,800","26,250","8,700"
2020-10-22,"83,300","25,950","8,880"
2020-10-23,"83,900","27,100","9,220"
2020-10-26,"83,200","26,600","9,130"
2020-10-27,"82,600","25,950","8,830"
2020-10-28,"82,900","26,150","9,060"
2020-10-29,"81,700","25,600","9,010"
2020-10-30,"79,900","25,100","8,890"
2020-11-02,"79,600","25,400","9,230"
2020-11-03,"81,400","25,750","9,310"
2020-11-04,"83,200","25,550","9,300"
2020-11-05,"86,100","26,100","9,480"
2020-11-06,"86,300","25,800","9,520"
2020-11-09,"86,000","26,350","9,610"
2020-11-10,"86,500","27,500","9,860"
2020-11-11,"87,000","28,500","10,100"
2020-11-12,"88,100","27,400","9,950"
2020-11-13,"89,700","27,050","9,770"
2020-11-16,"98,000","27,600","9,890"
2020-11-17,"98,100","27,450","9,910"
2020-11-18,"98,000","27,050","10,000"
2020-11-19,"98,200","26,700","9,900"
2020-11-20,"96,800","26,850","9,970"
2020-11-23,"100,000","27,400","10,050"
2020-11-24,"98,600","27,300","10,100"
2020-11-25,"97,200","27,100","10,150"
2020-11-26,"99,400","27,250","10,300"
2020-11-27,"98,800","26,900","10,200"
2020-11-30,"97,500","26,400","9,830"
2020-12-01,"100,500","26,350","10,100"
2020-12-02,"109,000","26,550","10,200"
2020-12-03,"111,500","26,850","10,100"
2020-12-04,"115,000","26,900","10,050"
2020-12-07,"118,000","26,200","10,050"
2020-12-08,"115,000","25,950","9,950"
2020-12-09,"120,500","26,450","10,000"
2020-12-10,"116,500","27,050","10,050"
2020-12-11,"115,500","27,150","10,300"
2020-12-14,"117,000","27,150","10,100"
2020-12-15,"117,500","28,050","10,000"
2020-12-16,"117,500","29,100","10,050"
2020-12-17,"119,500","28,600","10,100"
2020-12-18,"118,500","29,050","9,950"
2020-12-21,"116,000","28,700","10,000"
2020-12-22,"112,500","27,650","9,970"
2020-12-23,"116,000","27,700","10,000"
2020-12-24,"118,000","28,000","10,150"
2020-12-28,"115,500","28,400","10,150"
2020-12-29,"116,000","28,200","9,690"
2020-12-30,"118,500","28,500","9,730"
2021-01-04,"126,000","29,800","9,510"
2021-01-05,"130,500","30,700","9,610"
2021-01-06,"131,000","30,350","9,580"
2021-01-07,"134,500","30,800","9,840"
2021-01-08,"138,000","32,750","9,910"
2021-01-11,"133,000","31,800","9,720"
2021-01-12,"129,000","33,550","9,720"
2021-01-13,"133,000","33,050","10,050"
2021-01-14,"130,500","32,500","10,100"
2021-01-15,"127,500","35,950","9,920"
2021-01-18,"130,000","38,700","9,750"
2021-01-19,"130,500","39,150","9,900"
2021-01-20,"130,500","41,100","9,740"
2021-01-21,"131,500","42,100","9,640"
2021-01-22,"128,500","39,900","9,520"
2021-01-25,"135,000","43,050","9,520"
2021-01-26,"129,000","44,600","9,310"
2021-01-27,"128,500","42,600","9,330"
2021-01-28,"123,000","40,550","9,100"
2021-01-29,"122,500","40,650","8,800"
2021-02-01,"125,000","40,900","8,990"
2021-02-02,"130,000","41,700","9,020"
2021-02-03,"130,000","42,300","9,100"
2021-02-04,"125,000","44,250","9,010"
2021-02-05,"127,500","43,550","9,330"
2021-02-08,"125,000","42,400","9,410"
2021-02-09,"125,500","40,850","9,410"
2021-02-10,"126,000","43,300","9,580"
2021-02-15,"132,000","44,400","9,650"
2021-02-16,"132,500","42,900","9,620"
2021-02-17,"130,000","41,600","9,580"
2021-02-18,"126,000","42,450","9,450"
2021-02-19,"133,000","41,850","9,590"
2021-02-22,"136,500","41,550","9,590"
2021-02-23,"138,500","40,400","9,600"
2021-02-24,"136,000","38,100","9,660"
2021-02-25,"148,500","38,900","9,820"
2021-02-26,"141,500","36,900","9,580"
2021-03-02,"144,500","37,600","9,730"
2021-03-03,"147,000","38,350","9,770"
2021-03-04,"142,000","37,750","9,700"
2021-03-05,"140,000","37,000","9,610"
2021-03-08,"135,500","37,400","9,910"
2021-03-09,"136,500","36,900","10,100"
2021-03-10,"133,000","37,050","10,050"
2021-03-11,"137,000","41,250","10,050"
2021-03-12,"140,000","41,250","10,150"
2021-03-15,"136,500","41,300","10,100"
2021-03-16,"140,500","40,700","10,100"
2021-03-17,"140,000","41,250","10,000"
2021-03-18,"142,000","41,850","10,050"
2021-03-19,"138,000","41,650","10,150"
2021-03-22,"138,000","40,800","10,100"
2021-03-23,"135,000","39,250","10,050"
2021-03-24,"133,500","39,250","9,940"
2021-03-25,"133,000","39,100","9,980"
2021-03-26,"135,000","40,000","10,000"
2021-03-29,"132,000","40,850","10,100"
2021-03-30,"134,500","39,700","10,100"
2021-03-31,"132,500","40,900","10,100"
2021-04-01,"140,500","40,250","10,050"
2021-04-02,"141,000","39,900","10,000"
2021-04-05,"143,000","40,950","10,050"
2021-04-06,"143,000","40,300","10,100"
2021-04-07,"143,500","39,900","10,650"
2021-04-08,"144,000","39,700","10,600"
2021-04-09,"140,000","40,050","10,300"
2021-04-12,"137,500","39,900","10,400"
2021-04-13,"139,500","40,400","10,350"
2021-04-14,"137,000","41,300","10,400"
2021-04-15,"137,500","40,700","10,400"
2021-04-16,"137,500","40,450","10,250"
2021-04-19,"138,000","40,350","10,250"
2021-04-20,"138,500","40,700","10,400"
2021-04-21,"132,500","39,450","10,150"
2021-04-22,"133,000","40,050","10,500"
2021-04-23,"132,500","39,900","10,500"
2021-04-26,"131,500","39,700","10,600"
2021-04-27,"135,000","38,850","10,650"
2021-04-28,"130,000","38,000","10,800"
2021-04-29,"130,000","37,950","10,750"
2021-04-30,"128,000","38,600","10,700"
2021-05-03,"131,500","37,450","10,550"
2021-05-04,"132,000","37,250","10,500"
2021-05-06,"129,000","39,150","10,950"
2021-05-07,"129,500","40,250","11,000"
2021-05-10,"130,000","40,500","11,300"
2021-05-11,"123,000","40,400","11,300"
2021-05-12,"119,500","40,750","11,050"
2021-05-13,"117,500","42,250","11,050"
2021-05-14,"118,500","43,250","11,100"
2021-05-17,"117,500","42,400","11,100"
2021-05-18,"121,000","44,050","11,300"
2021-05-20,"122,500","42,550","11,150"
2021-05-21,"122,500","42,700","10,900"
2021-05-24,"119,500","43,500","11,050"
2021-05-25,"123,000","48,950","11,050"
2021-05-26,"123,000","49,050","11,000"
2021-05-27,"125,500","47,250","10,900"
2021-05-28,"125,000","47,350","11,050"
2021-05-31,"127,000","46,800","111,150"
2021-06-01,"128,500","48,650","11,200"
2021-06-02,"126,000","47,600","11,250"
2021-06-03,"129,000","46,900","11,350"
2021-06-04,"128,500","46,550","11,600"
2021-06-07,"128,500","47,600","11,650"
2021-06-08,"127,500","49,450","11,650"
2021-06-09,"122,500","50,100","11,550"
2021-06-10,"123,000","48,800","11,400"
2021-06-11,"128,000","49,000","11,400"
2021-06-14,"127,000","48,200","11,300"
2021-06-15,"128,500","48,050","11,450"
2021-06-16,"129,500","47,950","11,900"
2021-06-17,"126,500","46,350","11,800"
2021-06-18,"124,500","48,600","11,600"
2021-06-21,"122,000","46,950","11,300"
2021-06-22,"122,000","47,450","11,450"
2021-06-23,"124,000","46,500","11,350"
2021-06-24,"126,000","46,800","11,650"
2021-06-25,"128,500","46,450","11,850"
2021-06-28,"126,000","46,550","11,950"
2021-06-29,"125,000","47,350","11,600"
2021-06-30,"127,500","47,000","11,450"
2021-07-01,"124,500","47,150","11,450"
2021-07-02,"122,500","48,450","11,550"
2021-07-05,"123,000","53,500","11,600"
2021-07-06,"125,000","54,300","11,600"
2021-07-07,"123,500","54,500","11,450"
2021-07-08,"121,500","50,800","11,450"
2021-07-09,"119,500","51,300","11,150"
2021-07-12,"120,000","51,200","11,250"
2021-07-13,"123,000","51,500","11,400"
2021-07-14,"123,500","50,400","11,350"
2021-07-15,"123,500","50,700","11,350"
2021-07-16,"121,500","51,500","11,350"
2021-07-19,"119,000","51,600","11,300"
2021-07-20,"118,500","51,600","11,250"
2021-07-21,"117,000","50,900","11,250"
2021-07-22,"119,500","52,200","11,650"
2021-07-23,"118,500","51,800","11,200"
2021-07-26,"117,000","50,900","11,000"
2021-07-27,"116,000","50,900","11,100"
2021-07-28,"114,000","50,100","11,100"
2021-07-29,"114,000","51,600","11,050"
2021-07-30,"112,500","51,800","10,850"
2021-08-02,"116,000","54,000","10,850"
2021-08-03,"120,000","54,000","10,950"
2021-08-04,"121,000","55,100","11,200"
2021-08-05,"120,000","53,500","11,050"
2021-08-06,"118,000","52,300","11,050"
2021-08-09,"116,000","51,600","11,100"
2021-08-10,"112,500","52,000","11,100"
2021-08-11,"105,500","50,500","11,250"
2021-08-12,"100,500","51,700","11,200"
2021-08-13,"101,500","51,400","11,100"
2021-08-17,"101,500","50,000","11,050"
2021-08-18,"104,000","50,400","11,050"
2021-08-19,"102,500","47,850","10,750"
2021-08-20,"102,500","47,350","10,550"
2021-08-23,"103,000","47,800","10,700"
2021-08-24,"105,000","48,300","10,950"
2021-08-25,"103,500","48,450","11,000"
2021-08-26,"104,000","47,950","11,200"
2021-08-27,"103,500","48,300","11,350"
2021-08-30,"103,500","50,200","11,050"
2021-08-31,"106,500","50,900","11,250"
2021-09-01,"108,000","50,400","11,300"
2021-09-02,"106,500","51,700","11,250"
2021-09-03,"107,000","50,900","11,250"
2021-09-06,"106,000","51,200","11,100"
2021-09-07,"104,500","50,800","11,000"
2021-09-08,"106,000","50,800","11,100"
2021-09-09,"103,000","49,750","10,800"
2021-09-10,"105,000","49,800","10,950"
2021-09-13,"106,500","49,250","11,000"
2021-09-14,"107,500","50,500","11,100"
2021-09-15,"107,500","50,600","11,000"
2021-09-16,"104,000","50,200","11,000"
2021-09-17,"107,000","51,100","11,050"
2021-09-23,"105,500","51,900","11,100"
2021-09-24,"104,000","51,600","11,150"
2021-09-27,"104,500","51,400","11,250"
2021-09-28,"103,500","50,600","11,350"
2021-09-29,"100,000","48,400","11,350"
2021-09-30,"103,000","50,200","11,650"
2021-10-01,"100,000","52,000","11,500"
2021-10-05,"97,900","52,200","11,450"
2021-10-06,"96,500","48,150","11,500"
2021-10-07,"95,700","49,700","11,700"
2021-10-08,"94,000","48,800","11,600"
2021-10-12,"91,500","50,600","11,700"
2021-10-13,"92,000","50,700","11,800"
2021-10-14,"93,800","50,300","11,750"
2021-10-15,"98,400","50,100","11,950"
2021-10-18,"97,100","51,400","12,000"
2021-10-19,"97,700","50,900","12,350"
2021-10-20,"97,900","48,100","12,600"
2021-10-21,"96,300","49,300","12,750"
2021-10-22,"98,500","47,100","12,750"
2021-10-25,"100,000","46,650","13,000"
2021-10-26,"102,000","46,400","13,300"
2021-10-27,"101,500","44,900","13,400"
2021-10-28,"106,500","45,350","13,200"
2021-10-29,"103,000","45,000","13,250"
2021-11-01,"106,500","43,850","13,350"
2021-11-02,"107,500","44,050","13,450"
2021-11-03,"105,500","43,050","13,300"
