code,company,Classification,affiliate,closing price,rate,fluctuation rate,market price,high price,low price,trading volume,transaction amount,market cap,Number of listed shares
60310,3S,KOSDAQ,중견기업부,2600,65,2.56,2540,2615,2540,168458,435328975,1.20306E+11,46271513
95570,AJ네트웍스,KOSPI,,6250,10,0.16,6280,6400,6120,48045,302549910,2.92639E+11,46822295
6840,AK홀딩스,KOSPI,,13500,250,1.89,13300,13850,13200,12726,172425150,1.78842E+11,13247561
54620,APS홀딩스,KOSDAQ,중견기업부,12250,-250,-2,12500,12550,12150,22702,279465600,2.49829E+11,20394221
265520,AP시스템,KOSDAQ,우량기업부,18150,50,0.28,18100,18400,18000,56164,1025783450,2.77358E+11,15281421
211270,AP위성,KOSDAQ,벤처기업부,9180,10,0.11,9210,9280,9130,50853,467280260,1.38456E+11,15082304
27410,BGF,KOSPI,,3425,10,0.29,3415,3470,3410,63223,217118320,3.2783E+11,95716791
282330,BGF리테일,KOSPI,,179000,-2500,-1.38,181500,182000,178000,35434,6358122500,3.09382E+12,17283906
32790,BNGT,KOSDAQ,벤처기업부,2695,0,0,2670,2750,2630,528271,1419690020,79595059775,29534345
138930,BNK금융지주,KOSPI,,6630,70,1.07,6570,6650,6570,879785,5819791000,2.16095E+12,325935246
1460,BYC,KOSPI,,367500,-3500,-0.94,371000,371500,367500,43,15871500,2.29546E+11,624615
1465,BYC우,KOSPI,,139000,1500,1.09,139000,140500,138000,51,7097000,29938515000,215385
13720,CBI,KOSDAQ,벤처기업부,348,6,1.75,344,375,343,5512905,1972831062,94078558728,270340686
1040,CJ,KOSPI,,76700,1400,1.86,76200,77100,75500,19130,1466547800,2.23788E+12,29176998
79160,CJ CGV,KOSPI,,15050,-100,-0.66,15000,15250,14950,147852,2230029000,7.18054E+11,47711226
35760,CJ ENM,KOSDAQ,우량기업부,78400,1200,1.55,76500,79400,76400,103213,8091919100,1.71925E+12,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,27400,600,2.24,26800,27500,26800,2234,60962750,1.61076E+11,5878672
00104K,CJ4우(전환),KOSPI,,70000,300,0.43,69700,70500,69200,2668,186983700,2.95856E+11,4226512
120,CJ대한통운,KOSPI,,87000,-1500,-1.69,88500,88600,86500,64108,5575919200,1.98467E+12,22812344
11150,CJ씨푸드,KOSPI,,2755,-15,-0.54,2780,2780,2750,55779,153931025,98989279615,35930773
11155,CJ씨푸드1우,KOSPI,,25700,600,2.39,25100,25900,25100,19,487600,5140000000,200000
1045,CJ우,KOSPI,,47950,100,0.21,47950,47950,47650,573,27432700,1.08378E+11,2260223
97950,CJ제일제당,KOSPI,,421000,5500,1.32,419500,422000,415000,20933,8753903000,6.33781E+12,15054186
97955,CJ제일제당 우,KOSPI,,173000,1500,0.87,172500,174000,172000,796,137618500,2.29646E+11,1327433
51500,CJ프레시웨이,KOSDAQ,중견기업부,32050,-400,-1.23,32750,32750,31850,48206,1555781950,3.80484E+11,11871586
58820,CMG제약,KOSDAQ,중견기업부,2160,30,1.41,2140,2175,2135,402538,868173010,3.00007E+11,138892244
23460,CNH,KOSDAQ,중견기업부,2635,120,4.77,2600,2690,2530,560757,1479933690,98022000000,37200000
56730,CNT85,KOSDAQ,관리종목(소속부없음),3100,0,0,0,0,0,0,0,1.10512E+11,35648956
65770,CS,KOSDAQ,벤처기업부,1520,5,0.33,1515,1540,1510,15832,24103705,29504917600,19411130
83660,CSA 코스믹,KOSDAQ,중견기업부,1060,-15,-1.4,1080,1080,1045,24961,26284060,41818264580,39451193
590,CS홀딩스,KOSPI,,57200,-200,-0.35,57400,57900,56600,2375,135654200,66036370400,1154482
12030,DB,KOSPI,,767,0,0,766,773,763,134101,103131214,1.543E+11,201173933
404950,DB금융스팩10호,KOSDAQ,SPAC(소속부없음),1995,5,0.25,2000,2000,1990,264,527300,11650800000,5840000
367340,DB금융스팩8호,KOSDAQ,SPAC(소속부없음),2010,0,0,2015,2015,2000,7175,14383685,12160500000,6050000
367360,DB금융스팩9호,KOSDAQ,SPAC(소속부없음),2025,0,0,2030,2030,2015,14,28260,9801000000,4840000
16610,DB금융투자,KOSPI,,4195,5,0.12,4245,4245,4180,55066,231378300,1.78063E+11,42446389
5830,DB손해보험,KOSPI,,55800,1000,1.82,55300,56000,54600,105757,5855400700,3.95064E+12,70800000
990,DB하이텍,KOSPI,,44350,200,0.45,44600,44800,43900,378441,16779785500,1.96908E+12,44398588
995,DB하이텍1우,KOSPI,,98400,0,0,99300,99300,98000,197,19388800,11051894400,112316
139130,DGB금융지주,KOSPI,,6840,30,0.44,6830,6860,6810,471539,3220349460,1.15696E+12,169145833
1530,DI동일,KOSPI,,15800,-200,-1.25,16000,16150,15750,25570,406623900,4.03979E+11,25568270
210,DL,KOSPI,,64800,1200,1.89,64200,65300,63500,38318,2462224600,1.35794E+12,20955884
1880,DL건설,KOSPI,,14600,100,0.69,14550,14750,14350,16707,243623150,3.21978E+11,22053284
215,DL우,KOSPI,,36000,-250,-0.69,36450,36450,35900,704,25352500,60700140000,1686115
375500,DL이앤씨,KOSPI,,38050,400,1.06,37900,38200,37300,106312,4019706850,1.47229E+12,38693623
37550L,DL이앤씨2우(전환),KOSPI,,28250,0,0,28450,28450,27750,1663,46705450,59662615750,2111951
37550K,DL이앤씨우,KOSPI,,23750,100,0.42,23650,24000,23550,2594,61521650,50204768750,2113885
68790,DMS,KOSDAQ,우량기업부,4985,-25,-0.5,5030,5050,4965,23387,116925450,1.22497E+11,24573061
7340,DN오토모티브,KOSPI,,65300,6400,10.87,58900,67900,58900,175932,11324165900,6.52609E+11,9994005
4840,DRB동일,KOSPI,,4250,5,0.12,4245,4305,4210,2308,9807890,84702500000,19930000
241520,DSC인베스트먼트,KOSDAQ,벤처기업부,4110,-15,-0.36,4100,4170,4095,43809,180251115,1.14305E+11,27811403
155660,DSR,KOSPI,,5010,-40,-0.79,5050,5100,5000,7787,39199870,80160000000,16000000
